,rank,title,author,score,vote,rating
45,46,"Ethan of Athos (Vorkosigan Saga, #3)",Lois McMaster Bujold,"score: 2,904",36 people voted," 3.76 avg rating — 11,391 ratings"
46,47,"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,"score: 2,831",32 people voted," 4.11 avg rating — 95,088 ratings"
47,48,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"score: 2,755",32 people voted," 4.12 avg rating — 22,777 ratings"
48,49,"Komarr (Vorkosigan Saga, #11)",Lois McMaster Bujold,"score: 2,579",31 people voted," 4.30 avg rating — 12,912 ratings"
49,50,"Foreigner (Foreigner, #1)",C.J. Cherryh,"score: 2,547",30 people voted," 3.94 avg rating — 7,158 ratings"
50,51,Where Late the Sweet Birds Sang,Kate Wilhelm,"score: 2,535",30 people voted," 3.87 avg rating — 8,282 ratings"
51,52,"Beggars in Spain (Sleepless, #1)",Nancy Kress,"score: 2,526",30 people voted," 3.94 avg rating — 6,813 ratings"
52,53,Her Smoke Rose Up Forever,James Tiptree Jr.,"score: 2,524",29 people voted," 4.21 avg rating — 3,311 ratings"
53,54,"The Silver Metal Lover (Silver Metal Lover, #1)",Tanith Lee,"score: 2,504",29 people voted," 4.03 avg rating — 3,384 ratings"
54,55,"Cordelia's Honor (Vorkosigan Omnibus, #1)",Lois McMaster Bujold,"score: 2,498",31 people voted," 4.37 avg rating — 11,641 ratings"
55,56,The Pride of Chanur (Chanur #1),C.J. Cherryh,"score: 2,469",31 people voted," 3.92 avg rating — 5,912 ratings"
56,57,Station Eleven,Emily St. John Mandel,"score: 2,450",28 people voted," 4.03 avg rating — 253,819 ratings"
57,58,"Cyteen (Cyteen, #1-3)",C.J. Cherryh,"score: 2,316",30 people voted,"really liked it 4.00 avg rating — 9,285 ratings"
58,59,Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),Lois McMaster Bujold,"score: 2,306",29 people voted," 4.24 avg rating — 8,712 ratings"
59,60,"Grass (Arbai, #1)",Sheri S. Tepper,"score: 2,203",27 people voted," 4.04 avg rating — 9,266 ratings"
60,61,"Chameleon (The Domino Project, #1)",K.T. Hanna,"score: 2,199",22 people voted, 4.18 avg rating — 191 ratings
61,62,The Gate to Women's Country,Sheri S. Tepper,"score: 2,191",27 people voted," 4.05 avg rating — 11,541 ratings"
62,63,The Female Man,Joanna Russ,"score: 2,128",26 people voted," 3.54 avg rating — 5,351 ratings"
63,64,"In the Garden of Iden (The Company, #1)",Kage Baker,"score: 2,038",26 people voted," 3.77 avg rating — 4,995 ratings"
64,65,"Rogue Genesis (Shimmer in the Dark, #1)",Ceri London,"score: 2,013",21 people voted, 4.44 avg rating — 133 ratings
65,66,"Parable of the Talents (Earthseed, #2)",Octavia E. Butler,"score: 2,006",25 people voted," 4.24 avg rating — 17,405 ratings"
66,67,The Faded Sun Trilogy (The Faded Sun #1-3),C.J. Cherryh,"score: 1,931",23 people voted," 4.12 avg rating — 4,628 ratings"
67,68,"Diplomatic Immunity (Vorkosigan Saga, #13)",Lois McMaster Bujold,"score: 1,914",26 people voted," 4.18 avg rating — 12,109 ratings"
68,69,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"score: 1,849",22 people voted," 4.06 avg rating — 67,089 ratings"
69,70,The Speed of Dark,Elizabeth Moon,"score: 1,819",24 people voted,"really liked it 4.00 avg rating — 9,437 ratings"
70,71,Darkover Landfall,Marion Zimmer Bradley,"score: 1,748",21 people voted," 3.88 avg rating — 5,952 ratings"
71,72,"Machinations (Machinations, #1)",Hayley Stone,"score: 1,698",17 people voted, 3.79 avg rating — 248 ratings
72,73,"Vertigo (Aurora Rhapsody, #2)",G.S. Jennsen,"score: 1,684",18 people voted," 4.22 avg rating — 1,042 ratings"
73,74,"CryoBurn (Vorkosigan Saga, #14)",Lois McMaster Bujold,"score: 1,683",24 people voted," 4.06 avg rating — 11,943 ratings"
74,75,"Seed to Harvest (Patternmaster, #1-4)",Octavia E. Butler,"score: 1,659",20 people voted," 4.33 avg rating — 3,946 ratings"
75,76,The Wind's Twelve Quarters,Ursula K. Le Guin,"score: 1,572",19 people voted," 4.04 avg rating — 4,042 ratings"
76,77,Remnant Population,Elizabeth Moon,"score: 1,547",20 people voted," 4.06 avg rating — 3,628 ratings"
77,78,The Word for World is Forest,Ursula K. Le Guin,"score: 1,510",20 people voted," 3.95 avg rating — 12,905 ratings"
78,79,"Grimspace (Sirantha Jax, #1)",Ann Aguirre,"score: 1,497",17 people voted," 3.73 avg rating — 12,662 ratings"
79,80,Ammonite,Nicola Griffith,"score: 1,477",20 people voted," 3.86 avg rating — 3,715 ratings"
80,81,"Across the Universe (Across the Universe, #1)",Beth Revis,"score: 1,435",16 people voted," 3.77 avg rating — 107,420 ratings"
81,82,"Inheritor (Foreigner, #3)",C.J. Cherryh,"score: 1,392",18 people voted," 4.19 avg rating — 3,610 ratings"
82,83,The V Girl,Mya Robarts,"score: 1,380",15 people voted," 4.02 avg rating — 7,839 ratings"
83,84,"Delirium (Delirium, #1)",Lauren Oliver,"score: 1,366",15 people voted," 3.98 avg rating — 392,296 ratings"
84,85,Dreamsnake,Vonda N. McIntyre,"score: 1,324",18 people voted," 3.86 avg rating — 8,406 ratings"
85,86,Women of Wonder: Science-Fiction Stories by Women about Women,Pamela Sargent,"score: 1,297",16 people voted,really liked it 4.00 avg rating — 272 ratings
86,87,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"score: 1,296",14 people voted," 4.15 avg rating — 35,078 ratings"
87,88,"Trading in Danger (Vatta's War, #1)",Elizabeth Moon,"score: 1,286",16 people voted," 3.98 avg rating — 11,163 ratings"
88,89,"Invader (Foreigner, #2)",C.J. Cherryh,"score: 1,276",17 people voted," 4.17 avg rating — 4,058 ratings"
89,89,Woman on the Edge of Time,Marge Piercy,"score: 1,276",15 people voted," 3.95 avg rating — 12,600 ratings"
90,91,China Mountain Zhang,Maureen F. McHugh,"score: 1,253",18 people voted," 3.94 avg rating — 3,453 ratings"
91,92,"Stardoc (Stardoc, #1)",S.L. Viehl,"score: 1,230",16 people voted," 3.80 avg rating — 3,632 ratings"
92,93,"MaddAddam (MaddAddam, #3)",Margaret Atwood,"score: 1,212",13 people voted,"really liked it 4.00 avg rating — 52,202 ratings"
93,94,"Valor's Choice (Confederation, #1)",Tanya Huff,"score: 1,165",16 people voted," 3.98 avg rating — 6,898 ratings"
94,95,Bellwether,Connie Willis,"score: 1,142",13 people voted," 3.93 avg rating — 10,069 ratings"
95,96,This Alien Shore,C.S. Friedman,"score: 1,130",15 people voted," 4.04 avg rating — 3,262 ratings"
96,97,"Primary Inversion (Saga of the Skolian Empire, #1)",Catherine Asaro,"score: 1,119",15 people voted," 3.74 avg rating — 3,686 ratings"
97,98,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,"score: 1,115",12 people voted," 4.29 avg rating — 265,303 ratings"
98,99,"Probability Moon (Probability, #1)",Nancy Kress,"score: 1,107",15 people voted," 3.61 avg rating — 1,292 ratings"
99,100,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,"score: 1,083",12 people voted," 4.10 avg rating — 72,372 ratings"
100,101,"Merchanter's Luck (The Company Wars, #2)",C.J. Cherryh,"score: 1,072",17 people voted," 4.04 avg rating — 2,248 ratings"
101,102,Gathering Blue,Lois Lowry,"score: 1,061",13 people voted," 3.81 avg rating — 144,214 ratings"
102,103,"Imago (Xenogenesis, #3)",Octavia E. Butler,"score: 1,055",12 people voted," 4.19 avg rating — 9,699 ratings"
103,104,Slow River,Nicola Griffith,"score: 1,034",14 people voted," 3.85 avg rating — 3,452 ratings"
104,105,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,"score: 1,031",11 people voted," 4.45 avg rating — 233,145 ratings"
105,106,"Explorer (Foreigner, #6)",C.J. Cherryh,"score: 1,021",14 people voted," 4.29 avg rating — 2,814 ratings"
106,107,Among Others,Jo Walton,"score: 1,015",13 people voted," 3.69 avg rating — 20,262 ratings"
107,108,"Rimrunners (The Company Wars, #3)",C.J. Cherryh,"score: 1,001",15 people voted," 3.88 avg rating — 1,730 ratings"
108,109,Ancillary Sword (Imperial Radch #2),Ann Leckie,score: 983,12 people voted," 4.05 avg rating — 34,435 ratings"
109,110,A Seacat's Love,Jessica Kong,score: 982,11 people voted, 4.58 avg rating — 48 ratings
110,111,"Adulthood Rites (Xenogenesis, #2)",Octavia E. Butler,score: 962,11 people voted," 4.16 avg rating — 10,687 ratings"
111,112,Bloodchild and Other Stories,Octavia E. Butler,score: 952,12 people voted," 4.31 avg rating — 10,940 ratings"
112,113,"Precursor (Foreigner, #4)",C.J. Cherryh,score: 951,13 people voted," 4.22 avg rating — 3,081 ratings"
113,114,Beauty,Sheri S. Tepper,score: 939,11 people voted," 3.82 avg rating — 5,210 ratings"
114,115,The Mountains of Mourning,Lois McMaster Bujold,score: 938,12 people voted," 4.27 avg rating — 6,245 ratings"
115,116,Fledgling,Octavia E. Butler,score: 920,12 people voted," 3.87 avg rating — 16,778 ratings"
116,117,Conditioned Response (Phoenician #2),Marjorie F. Baldwin,score: 901,10 people voted, 3.76 avg rating — 51 ratings
117,118,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers,score: 892,10 people voted," 4.17 avg rating — 51,059 ratings"
118,119,"Matched (Matched, #1)",Ally Condie,score: 889,10 people voted," 3.67 avg rating — 597,963 ratings"
119,120,"Hunting Party (The Serrano Legacy, #1)",Elizabeth Moon,score: 884,13 people voted," 3.87 avg rating — 5,206 ratings"
120,121,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,score: 881,10 people voted," 4.32 avg rating — 86,740 ratings"
121,122,"Forty Thousand in Gehenna (Unionside, #1)",C.J. Cherryh,score: 867,14 people voted," 3.77 avg rating — 1,795 ratings"
122,123,Rocannon's World,Ursula K. Le Guin,score: 859,12 people voted," 3.72 avg rating — 9,672 ratings"
123,124,"Children of God (The Sparrow, #2)",Mary Doria Russell,score: 858,9 people voted," 4.06 avg rating — 16,057 ratings"
124,125,A Door Into Ocean,Joan Slonczewski,score: 854,11 people voted," 3.97 avg rating — 1,930 ratings"
125,126,When She Woke,Hillary Jordan,score: 851,10 people voted," 3.67 avg rating — 24,407 ratings"
126,127,Games of Command,Linnea Sinclair,score: 849,10 people voted,"really liked it 4.00 avg rating — 2,756 ratings"
127,128,Messenger,Lois Lowry,score: 838,11 people voted," 3.91 avg rating — 101,396 ratings"
128,129,"A Thousand Words for Stranger (Trade Pact Universe, #1)",Julie E. Czerneda,score: 837,11 people voted," 3.89 avg rating — 2,587 ratings"
129,130,The Family Tree,Sheri S. Tepper,score: 831,10 people voted,"really liked it 4.00 avg rating — 2,774 ratings"
130,131,"Captain Vorpatril's Alliance (Vorkosigan Saga, #15)",Lois McMaster Bujold,score: 829,11 people voted," 4.20 avg rating — 11,915 ratings"
131,132,"Boneshaker (The Clockwork Century, #1)",Cherie Priest,score: 819,12 people voted," 3.50 avg rating — 29,737 ratings"
132,133,"Defender (Foreigner, #5)",C.J. Cherryh,score: 812,11 people voted," 4.19 avg rating — 2,596 ratings"
133,134,Stuck,Lissette E. Manning,score: 798,8 people voted, 3.59 avg rating — 46 ratings
134,135,"Deliverer (Foreigner, #9)",C.J. Cherryh,score: 797,10 people voted," 4.24 avg rating — 2,119 ratings"
135,136,Ancillary Mercy (Imperial Radch #3),Ann Leckie,score: 796,9 people voted," 4.21 avg rating — 26,783 ratings"
136,137,"Pretender (Foreigner, #8)",C.J. Cherryh,score: 788,11 people voted," 4.24 avg rating — 2,280 ratings"
137,138,Always Coming Home,Ursula K. Le Guin,score: 787,10 people voted," 3.99 avg rating — 2,565 ratings"
138,139,"Sky Coyote (The Company, #2)",Kage Baker,score: 775,9 people voted," 3.82 avg rating — 2,261 ratings"
139,140,Passage,Connie Willis,score: 774,9 people voted," 3.69 avg rating — 7,885 ratings"
140,141,"Destroyer (Foreigner, #7)",C.J. Cherryh,score: 772,11 people voted," 4.20 avg rating — 2,355 ratings"
141,142,"Engaging the Enemy (Vatta's War, #3)",Elizabeth Moon,score: 768,10 people voted," 4.06 avg rating — 7,652 ratings"
142,143,"I Dare (Liaden Universe, #13)",Sharon Lee,score: 767,11 people voted," 4.51 avg rating — 2,361 ratings"
143,144,"Wanderlust (Sirantha Jax, #2)",Ann Aguirre,score: 766,9 people voted," 3.87 avg rating — 5,829 ratings"
144,145,"Conspirator (Foreigner, #10)",C.J. Cherryh,score: 750,11 people voted," 4.24 avg rating — 1,796 ratings"
145,146,"Allegiant (Divergent, #3)",Veronica Roth,score: 749,9 people voted," 3.63 avg rating — 742,800 ratings"
146,147,Chanur's Venture (Chanur #2),C.J. Cherryh,score: 737,11 people voted," 4.04 avg rating — 2,681 ratings"
147,148,"The Ear, the Eye, and the Arm",Nancy Farmer,score: 736,8 people voted," 3.86 avg rating — 14,984 ratings"
148,149,"Command Decision (Vatta's War, #4)",Elizabeth Moon,score: 731,9 people voted," 4.09 avg rating — 8,064 ratings"
149,150,"Dragonflight / Dragonquest (Pern: Dragon Riders of Pern, #1-2)",Anne McCaffrey,score: 724,12 people voted," 4.46 avg rating — 10,600 ratings"
150,151,The Stone Gods,Jeanette Winterson,score: 720,8 people voted," 3.68 avg rating — 4,518 ratings"
151,152,"Freedom's Landing (Catteni, #1)",Anne McCaffrey,score: 718,8 people voted," 3.94 avg rating — 9,599 ratings"
152,153,"In Conquest Born (In Conquest Born, #1)",C.S. Friedman,score: 714,9 people voted," 3.89 avg rating — 2,627 ratings"
153,154,"Dragonquest (Pern, #2)",Anne McCaffrey,score: 700,11 people voted," 4.10 avg rating — 38,630 ratings"
154,155,"Deceiver (Foreigner, #11)",C.J. Cherryh,score: 698,10 people voted," 4.27 avg rating — 1,720 ratings"
155,156,"The Rowan (The Tower and the Hive, #1)",Anne McCaffrey,score: 697,8 people voted," 4.03 avg rating — 14,789 ratings"
156,157,"Farthing (Small Change, #1)",Jo Walton,score: 691,8 people voted," 3.81 avg rating — 4,375 ratings"
157,158,"Native Tongue (Native Tongue, #1)",Suzette Haden Elgin,score: 683,9 people voted," 4.01 avg rating — 2,473 ratings"
158,159,So You Want to Be a Wizard,Diane Duane,score: 672,8 people voted," 3.82 avg rating — 24,737 ratings"
159,160,"He, She and It",Marge Piercy,score: 670,7 people voted," 3.98 avg rating — 4,906 ratings"
160,161,Fortune's Pawn (Paradox #1),Rachel Bach,score: 669,8 people voted," 3.96 avg rating — 11,422 ratings"
161,162,"Hammered (Jenny Casey, #1)",Elizabeth Bear,score: 651,9 people voted," 3.70 avg rating — 1,755 ratings"
162,163,"Blood Red Road (Dust Lands, #1)",Moira Young,score: 639,7 people voted," 3.92 avg rating — 56,545 ratings"
163,164,Brightness Falls from the Air,James Tiptree Jr.,score: 638,8 people voted, 3.75 avg rating — 707 ratings
164,165,Killashandra (Crystal Singer #2),Anne McCaffrey,score: 636,9 people voted," 4.02 avg rating — 12,996 ratings"
165,166,Dream Dancer (Kerrion Empire Book 1),Janet E. Morris,score: 617,7 people voted, 3.97 avg rating — 187 ratings
166,167,"God's War (Bel Dame Apocrypha, #1)",Kameron Hurley,score: 615,7 people voted," 3.65 avg rating — 4,225 ratings"
167,168,"Psion (Cat, #1)",Joan D. Vinge,score: 614,10 people voted," 3.96 avg rating — 2,071 ratings"
168,169,"Survival (Species Imperative, #1)",Julie E. Czerneda,score: 601,8 people voted," 3.94 avg rating — 1,910 ratings"
169,170,"Santa Olivia (Santa Olivia, #1)",Jacqueline Carey,score: 593,7 people voted," 3.83 avg rating — 8,006 ratings"
170,171,"A Closed and Common Orbit (Wayfarers, #2)",Becky Chambers,score: 591,7 people voted," 4.36 avg rating — 23,143 ratings"
171,172,"Cuckoo's Egg (Age of Exploration, #3)",C.J. Cherryh,score: 589,8 people voted," 3.95 avg rating — 1,562 ratings"
172,173,"Spin State (Spin Trilogy, #1)",Chris Moriarty,score: 587,7 people voted," 3.78 avg rating — 2,318 ratings"
173,173,Earth Girl (Earth Girl #1),Janet  Edwards,score: 587,6 people voted," 3.81 avg rating — 4,991 ratings"
174,175,"Carpe Diem (Liaden Universe, #10)",Sharon Lee,score: 584,8 people voted," 4.35 avg rating — 2,043 ratings"
175,176,"The Shifter Dimension (Starbirth, #2)",J.M. Johnson,score: 581,6 people voted, 4.69 avg rating — 89 ratings
176,177,"Killbox (Sirantha Jax, #4)",Ann Aguirre,score: 576,7 people voted," 4.07 avg rating — 4,049 ratings"
177,178,"The Saga of the Renunciates (Darkover Omnibus, #3)",Marion Zimmer Bradley,score: 571,7 people voted, 4.09 avg rating — 928 ratings
178,179,"Shadow Team GB (Starbirth, #3)",J.M. Johnson,score: 570,6 people voted, 4.84 avg rating — 75 ratings
179,180,The Chanur Saga (Chanur #1-3),C.J. Cherryh,score: 564,7 people voted," 4.22 avg rating — 1,138 ratings"
180,181,"The White Dragon (Pern, #3)",Anne McCaffrey,score: 562,8 people voted," 4.18 avg rating — 39,323 ratings"
181,182,"The World Wreckers (Darkover, #22)",Marion Zimmer Bradley,score: 559,8 people voted," 3.74 avg rating — 1,861 ratings"
182,183,"Doubleblind (Sirantha Jax, #3)",Ann Aguirre,score: 551,7 people voted," 3.99 avg rating — 4,762 ratings"
183,184,"Warchild (Warchild, #1)",Karin Lowachee,score: 544,7 people voted," 4.07 avg rating — 1,881 ratings"
184,184,"Marque and Reprisal (Vatta's War, #2)",Elizabeth Moon,score: 544,7 people voted," 4.08 avg rating — 8,478 ratings"
185,186,Slave to Sensation (Psy-Changeling #1),Nalini Singh,score: 543,6 people voted," 4.12 avg rating — 54,877 ratings"
186,187,"Hammerfall (The Gene Wars, #1)",C.J. Cherryh,score: 536,8 people voted," 3.63 avg rating — 1,376 ratings"
187,188,"Soulless (Parasol Protectorate, #1)",Gail Carriger,score: 535,6 people voted," 3.91 avg rating — 87,834 ratings"
188,189,"The Forbidden Tower (Darkover, #12)",Marion Zimmer Bradley,score: 534,7 people voted," 4.06 avg rating — 2,890 ratings"
189,190,"Biting the Sun (Four-BEE, #1-2)",Tanith Lee,score: 533,7 people voted," 4.24 avg rating — 1,783 ratings"
190,190,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,score: 533,7 people voted," 4.33 avg rating — 590,035 ratings"
191,192,Son,Lois Lowry,score: 532,7 people voted," 3.99 avg rating — 72,442 ratings"
192,193,"Young Miles (Vorkosigan Omnibus, #2)",Lois McMaster Bujold,score: 527,7 people voted," 4.38 avg rating — 5,648 ratings"
193,194,"Victory Conditions (Vatta's War, #5)",Elizabeth Moon,score: 521,7 people voted," 4.09 avg rating — 7,176 ratings"
194,195,"The Steerswoman (The Steerswoman, #1)",Rosemary Kirstein,score: 520,7 people voted," 3.98 avg rating — 1,912 ratings"
195,195,"Jaran (Jaran, #1)",Kate Elliott,score: 520,6 people voted," 3.94 avg rating — 2,451 ratings"
196,197,The Ones Who Walk Away from Omelas,Ursula K. Le Guin,score: 516,8 people voted," 4.37 avg rating — 12,368 ratings"
197,198,Winterfair Gifts,Lois McMaster Bujold,score: 513,9 people voted," 4.12 avg rating — 6,404 ratings"
198,199,The City of Ember,Jeanne DuPrau,score: 509,6 people voted," 3.86 avg rating — 224,334 ratings"
199,200,Six Moon Dance,Sheri S. Tepper,score: 504,6 people voted," 3.77 avg rating — 1,500 ratings"
200,201,"The Quantum Rose (Saga of the Skolian Empire, #6)",Catherine Asaro,score: 503,7 people voted," 3.58 avg rating — 1,845 ratings"
201,202,Human Instincts,Ioana Visan,score: 500,5 people voted, 4.02 avg rating — 51 ratings
202,202,"Naked in Death (In Death, #1)",J.D. Robb,score: 500,7 people voted," 4.12 avg rating — 149,256 ratings"
203,202,"Consider (Holo, #1)",Kristy Acevedo,score: 500,5 people voted, 4.13 avg rating — 785 ratings
204,205,Gateway to Reality,Becca J. Campbell,score: 497,5 people voted, 3.59 avg rating — 74 ratings
205,206,"Regenesis (Cyteen, #4)",C.J. Cherryh,score: 496,8 people voted,"really liked it 4.00 avg rating — 1,146 ratings"
206,207,"Four: A Divergent Story Collection (Divergent, #0.1 - 0.4)",Veronica Roth,score: 492,6 people voted," 4.07 avg rating — 140,360 ratings"
207,208,"Song of Scarabaeus (Scarabaeus, #1)",Sara Creasy,score: 486,6 people voted," 3.63 avg rating — 2,726 ratings"
208,209,"The Starbirth Assignment: Shifter (Starbirth, #1 part 1)",J.M. Johnson,score: 480,5 people voted, 4.15 avg rating — 99 ratings
209,209,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,score: 480,5 people voted," 4.34 avg rating — 53,050 ratings"
210,211,"Winterlong (Winterlong, #1)",Elizabeth Hand,score: 477,6 people voted, 3.72 avg rating — 778 ratings
211,212,An Accidental Goddess,Linnea Sinclair,score: 475,6 people voted," 3.96 avg rating — 2,780 ratings"
212,213,"Mendoza in Hollywood (The Company, #3)",Kage Baker,score: 474,6 people voted," 3.86 avg rating — 1,908 ratings"
213,214,"Thendara House (Darkover, #13)",Marion Zimmer Bradley,score: 472,6 people voted," 3.97 avg rating — 2,683 ratings"
214,215,"The Disappeared (Retrieval Artist, #1)",Kristine Kathryn Rusch,score: 471,7 people voted," 3.76 avg rating — 1,894 ratings"
215,216,Midnight Robber,Nalo Hopkinson,score: 470,6 people voted," 3.91 avg rating — 2,264 ratings"
216,217,"City of Pearl (Wess'har Wars, #1)",Karen Traviss,score: 450,7 people voted," 3.87 avg rating — 1,979 ratings"
217,218,"All Clear (All Clear, #2)",Connie Willis,score: 441,6 people voted," 4.06 avg rating — 15,335 ratings"
