,title,series,number_in_series,score,vote,number_of_ratings
33,Wild Seed,Patternmaster,1,"3,842",43 people voted,"14,434"
34,A Wind in the Door,Time Quintet,2,"3,700",42 people voted,"106,044"
35,A Civil Campaign,Vorkosigan Saga,12,"3,683",43 people voted,"14,496"
36,Brothers in Arms,Vorkosigan Saga,5,"3,653",43 people voted,"13,276"
37,Cetaganda,Vorkosigan Saga,9,"3,618",43 people voted,"14,831"
38,The Snow Queen,The Snow Queen Cycle,1,"3,535",43 people voted,"11,144"
39,Cinder,The Lunar Chronicles,1,"3,440",38 people voted,"582,855"
40,Downbelow Station,The Company Wars,1,"3,381",40 people voted,"12,109"
41,The Ship Who Sang,Brainship,1,"3,361",39 people voted,"21,160"
42,Dragon Dawn,Dinosaurian Time Travel,1,"3,340",34 people voted,194
43,Dragonsong,Harper Hall,1,"3,092",36 people voted,"43,819"
44,Falling Free,Vorkosigan Saga,4,"3,054",37 people voted,"16,014"
45,Ethan of Athos,Vorkosigan Saga,3,"2,904",36 people voted,"11,391"
46,A Swiftly Tilting Planet,Time Quintet,3,"2,831",32 people voted,"95,088"
47,Dawn,Xenogenesis,1,"2,755",32 people voted,"22,777"
48,Komarr,Vorkosigan Saga,11,"2,579",31 people voted,"12,912"
49,Foreigner,Foreigner,1,"2,547",30 people voted,"7,158"
50,Where Late the Sweet Birds Sang,-,-,"2,535",30 people voted,"8,282"
51,Beggars in Spain,Sleepless,1,"2,526",30 people voted,"6,813"
52,Her Smoke Rose Up Forever,-,-,"2,524",29 people voted,"3,311"
53,The Silver Metal Lover,Silver Metal Lover,1,"2,504",29 people voted,"3,384"
54,Cordelia's Honor,Vorkosigan Omnibus,1,"2,498",31 people voted,"11,641"
55,The Pride of Chanur,Chanur ,1,"2,469",31 people voted,"5,912"
56,Station Eleven,-,-,"2,450",28 people voted,"253,819"
57,Cyteen,Cyteen,1-3,"2,316",30 people voted,"9,285"
58,Borders of Infinity,Vorkosigan Saga [Publication] ,5.1-5.3,"2,306",29 people voted,"8,712"
59,Grass,Arbai,1,"2,203",27 people voted,"9,266"
60,Chameleon,The Domino Project,1,"2,199",22 people voted,191
61,The Gate to Women's Country,-,-,"2,191",27 people voted,"11,541"
62,The Female Man,-,-,"2,128",26 people voted,"5,351"
63,In the Garden of Iden,The Company,1,"2,038",26 people voted,"4,995"
64,Rogue Genesis,Shimmer in the Dark,1,"2,013",21 people voted,133
65,Parable of the Talents,Earthseed,2,"2,006",25 people voted,"17,405"
66,The Faded Sun Trilogy,The Faded Sun ,1-3,"1,931",23 people voted,"4,628"
67,Diplomatic Immunity,Vorkosigan Saga,13,"1,914",26 people voted,"12,109"
68,His Majesty's Dragon,Temeraire,1,"1,849",22 people voted,"67,089"
69,The Speed of Dark,-,-,"1,819",24 people voted,"9,437"
70,Darkover Landfall,-,-,"1,748",21 people voted,"5,952"
71,Machinations,Machinations,1,"1,698",17 people voted,248
72,Vertigo,Aurora Rhapsody,2,"1,684",18 people voted,"1,042"
73,CryoBurn,Vorkosigan Saga,14,"1,683",24 people voted,"11,943"
74,Seed to Harvest,Patternmaster,1-4,"1,659",20 people voted,"3,946"
75,The Wind's Twelve Quarters,-,-,"1,572",19 people voted,"4,042"
76,Remnant Population,-,-,"1,547",20 people voted,"3,628"
77,The Word for World is Forest,-,-,"1,510",20 people voted,"12,905"
78,Grimspace,Sirantha Jax,1,"1,497",17 people voted,"12,662"
79,Ammonite,-,-,"1,477",20 people voted,"3,715"
80,Across the Universe,Across the Universe,1,"1,435",16 people voted,"107,420"
81,Inheritor,Foreigner,3,"1,392",18 people voted,"3,610"
82,The V Girl,-,-,"1,380",15 people voted,"7,839"
83,Delirium,Delirium,1,"1,366",15 people voted,"392,296"
84,Dreamsnake,-,-,"1,324",18 people voted,"8,406"
85,Women of Wonder: Science-Fiction Stories by Women about Women,-,-,"1,297",16 people voted,272
86,All Systems Red,The Murderbot Diaries,1,"1,296",14 people voted,"35,078"
87,Trading in Danger,Vatta's War,1,"1,286",16 people voted,"11,163"
88,Invader,Foreigner,2,"1,276",17 people voted,"4,058"
89,Woman on the Edge of Time,-,-,"1,276",15 people voted,"12,600"
90,China Mountain Zhang,-,-,"1,253",18 people voted,"3,453"
91,Stardoc,Stardoc,1,"1,230",16 people voted,"3,632"
92,MaddAddam,MaddAddam,3,"1,212",13 people voted,"52,202"
93,Valor's Choice,Confederation,1,"1,165",16 people voted,"6,898"
94,Bellwether,-,-,"1,142",13 people voted,"10,069"
95,This Alien Shore,-,-,"1,130",15 people voted,"3,262"
96,Primary Inversion,Saga of the Skolian Empire,1,"1,119",15 people voted,"3,686"
97,Scarlet,The Lunar Chronicles,2,"1,115",12 people voted,"265,303"
98,Probability Moon,Probability,1,"1,107",15 people voted,"1,292"
99,The House of the Scorpion,Matteo Alacran,1,"1,083",12 people voted,"72,372"
100,Merchanter's Luck,The Company Wars,2,"1,072",17 people voted,"2,248"
101,Gathering Blue,-,-,"1,061",13 people voted,"144,214"
102,Imago,Xenogenesis,3,"1,055",12 people voted,"9,699"
103,Slow River,-,-,"1,034",14 people voted,"3,452"
104,Cress,The Lunar Chronicles,3,"1,031",11 people voted,"233,145"
105,Explorer,Foreigner,6,"1,021",14 people voted,"2,814"
106,Among Others,-,-,"1,015",13 people voted,"20,262"
107,Rimrunners,The Company Wars,3,"1,001",15 people voted,"1,730"
108,Ancillary Sword,Imperial Radch ,2,983,12 people voted,"34,435"
109,A Seacat's Love,-,-,982,11 people voted,48
110,Adulthood Rites,Xenogenesis,2,962,11 people voted,"10,687"
111,Bloodchild and Other Stories,-,-,952,12 people voted,"10,940"
112,Precursor,Foreigner,4,951,13 people voted,"3,081"
113,Beauty,-,-,939,11 people voted,"5,210"
114,The Mountains of Mourning,-,-,938,12 people voted,"6,245"
115,Fledgling,-,-,920,12 people voted,"16,778"
116,Conditioned Response,Phoenician ,2,901,10 people voted,51
117,"The Long Way to a Small, Angry Planet",Wayfarers,1,892,10 people voted,"51,059"
118,Matched,Matched,1,889,10 people voted,"597,963"
119,Hunting Party,The Serrano Legacy,1,884,13 people voted,"5,206"
120,The Fifth Season,The Broken Earth,1,881,10 people voted,"86,740"
121,Forty Thousand in Gehenna,Unionside,1,867,14 people voted,"1,795"
122,Rocannon's World,-,-,859,12 people voted,"9,672"
123,Children of God,The Sparrow,2,858,9 people voted,"16,057"
124,A Door Into Ocean,-,-,854,11 people voted,"1,930"
125,When She Woke,-,-,851,10 people voted,"24,407"
126,Games of Command,-,-,849,10 people voted,"2,756"
127,Messenger,-,-,838,11 people voted,"101,396"
128,A Thousand Words for Stranger,Trade Pact Universe,1,837,11 people voted,"2,587"
129,The Family Tree,-,-,831,10 people voted,"2,774"
130,Captain Vorpatril's Alliance,Vorkosigan Saga,15,829,11 people voted,"11,915"
131,Boneshaker,The Clockwork Century,1,819,12 people voted,"29,737"
132,Defender,Foreigner,5,812,11 people voted,"2,596"
133,Stuck,-,-,798,8 people voted,46
134,Deliverer,Foreigner,9,797,10 people voted,"2,119"
135,Ancillary Mercy,Imperial Radch ,3,796,9 people voted,"26,783"
136,Pretender,Foreigner,8,788,11 people voted,"2,280"
137,Always Coming Home,-,-,787,10 people voted,"2,565"
138,Sky Coyote,The Company,2,775,9 people voted,"2,261"
139,Passage,-,-,774,9 people voted,"7,885"
140,Destroyer,Foreigner,7,772,11 people voted,"2,355"
141,Engaging the Enemy,Vatta's War,3,768,10 people voted,"7,652"
142,I Dare,Liaden Universe,13,767,11 people voted,"2,361"
143,Wanderlust,Sirantha Jax,2,766,9 people voted,"5,829"
144,Conspirator,Foreigner,10,750,11 people voted,"1,796"
145,Allegiant,Divergent,3,749,9 people voted,"742,800"
146,Chanur's Venture,Chanur ,2,737,11 people voted,"2,681"
147,"The Ear, the Eye, and the Arm",-,-,736,8 people voted,"14,984"
148,Command Decision,Vatta's War,4,731,9 people voted,"8,064"
149,Dragonflight / Dragonquest,Pern: Dragon Riders of Pern,1-2,724,12 people voted,"10,600"
150,The Stone Gods,-,-,720,8 people voted,"4,518"
151,Freedom's Landing,Catteni,1,718,8 people voted,"9,599"
152,In Conquest Born,In Conquest Born,1,714,9 people voted,"2,627"
153,Dragonquest,Pern,2,700,11 people voted,"38,630"
154,Deceiver,Foreigner,11,698,10 people voted,"1,720"
155,The Rowan,The Tower and the Hive,1,697,8 people voted,"14,789"
156,Farthing,Small Change,1,691,8 people voted,"4,375"
157,Native Tongue,Native Tongue,1,683,9 people voted,"2,473"
158,So You Want to Be a Wizard,-,-,672,8 people voted,"24,737"
159,"He, She and It",-,-,670,7 people voted,"4,906"
160,Fortune's Pawn,Paradox ,1,669,8 people voted,"11,422"
161,Hammered,Jenny Casey,1,651,9 people voted,"1,755"
162,Blood Red Road,Dust Lands,1,639,7 people voted,"56,545"
163,Brightness Falls from the Air,-,-,638,8 people voted,707
164,Killashandra,Crystal Singer ,2,636,9 people voted,"12,996"
165,,,,617,7 people voted,187
166,God's War,Bel Dame Apocrypha,1,615,7 people voted,"4,225"
167,Psion,Cat,1,614,10 people voted,"2,071"
168,Survival,Species Imperative,1,601,8 people voted,"1,910"
169,Santa Olivia,Santa Olivia,1,593,7 people voted,"8,006"
170,A Closed and Common Orbit,Wayfarers,2,591,7 people voted,"23,143"
171,Cuckoo's Egg,Age of Exploration,3,589,8 people voted,"1,562"
172,Spin State,Spin Trilogy,1,587,7 people voted,"2,318"
173,Earth Girl,Earth Girl ,1,587,6 people voted,"4,991"
174,Carpe Diem,Liaden Universe,10,584,8 people voted,"2,043"
175,The Shifter Dimension,Starbirth,2,581,6 people voted,89
176,Killbox,Sirantha Jax,4,576,7 people voted,"4,049"
177,The Saga of the Renunciates,Darkover Omnibus,3,571,7 people voted,928
178,Shadow Team GB,Starbirth,3,570,6 people voted,75
179,The Chanur Saga,Chanur ,1-3,564,7 people voted,"1,138"
180,The White Dragon,Pern,3,562,8 people voted,"39,323"
181,The World Wreckers,Darkover,22,559,8 people voted,"1,861"
182,Doubleblind,Sirantha Jax,3,551,7 people voted,"4,762"
183,Warchild,Warchild,1,544,7 people voted,"1,881"
184,Marque and Reprisal,Vatta's War,2,544,7 people voted,"8,478"
185,Slave to Sensation,Psy-Changeling ,1,543,6 people voted,"54,877"
186,Hammerfall,The Gene Wars,1,536,8 people voted,"1,376"
187,Soulless,Parasol Protectorate,1,535,6 people voted,"87,834"
188,The Forbidden Tower,Darkover,12,534,7 people voted,"2,890"
189,Biting the Sun,Four-BEE,1-2,533,7 people voted,"1,783"
190,Clockwork Angel,The Infernal Devices,1,533,7 people voted,"590,035"
191,Son,-,-,532,7 people voted,"72,442"
192,Young Miles,Vorkosigan Omnibus,2,527,7 people voted,"5,648"
193,Victory Conditions,Vatta's War,5,521,7 people voted,"7,176"
194,The Steerswoman,The Steerswoman,1,520,7 people voted,"1,912"
195,Jaran,Jaran,1,520,6 people voted,"2,451"
196,The Ones Who Walk Away from Omelas,-,-,516,8 people voted,"12,368"
197,Winterfair Gifts,-,-,513,9 people voted,"6,404"
198,The City of Ember,-,-,509,6 people voted,"224,334"
199,Six Moon Dance,-,-,504,6 people voted,"1,500"
200,The Quantum Rose,Saga of the Skolian Empire,6,503,7 people voted,"1,845"
201,Human Instincts,-,-,500,5 people voted,51
202,Naked in Death,In Death,1,500,7 people voted,"149,256"
203,Consider,Holo,1,500,5 people voted,785
204,Gateway to Reality,-,-,497,5 people voted,74
205,Regenesis,Cyteen,4,496,8 people voted,"1,146"
206,Four: A Divergent Story Collection,Divergent,0.1 - 0.4,492,6 people voted,"140,360"
207,Song of Scarabaeus,Scarabaeus,1,486,6 people voted,"2,726"
208,The Starbirth Assignment: Shifter,Starbirth,1 part 1,480,5 people voted,99
209,The Obelisk Gate,The Broken Earth,2,480,5 people voted,"53,050"
210,Winterlong,Winterlong,1,477,6 people voted,778
211,An Accidental Goddess,-,-,475,6 people voted,"2,780"
212,Mendoza in Hollywood,The Company,3,474,6 people voted,"1,908"
213,Thendara House,Darkover,13,472,6 people voted,"2,683"
214,The Disappeared,Retrieval Artist,1,471,7 people voted,"1,894"
215,Midnight Robber,-,-,470,6 people voted,"2,264"
216,City of Pearl,Wess'har Wars,1,450,7 people voted,"1,979"
217,All Clear,All Clear,2,441,6 people voted,"15,335"
218,The Stone Sky,The Broken Earth,3,440,5 people voted,"40,381"
219,The Shore of Women,-,-,433,6 people voted,"1,013"
220,Conflict of Honors,Liaden Universe,8,428,6 people voted,"2,463"
221,The Last Hawk,Saga of the Skolian Empire,3,428,6 people voted,"1,225"
222,Sapphique,Incarceron,2,426,5 people voted,"20,911"
223,The Stars are Legion,-,-,424,5 people voted,"5,876"
224,Worldwired,Jenny Casey,3,422,7 people voted,857
225,Rules of Engagement,The Serrano Legacy,5,422,7 people voted,"3,439"
226,Walk to the End of the World,Holdfast Chronicles,1,421,7 people voted,386
227,Serpent's Reach,-,-,418,7 people voted,"1,205"
228,Planet of Exile,Hainish Cycle ,2,417,5 people voted,"5,567"
229,Incarceron,Incarceron,1,416,5 people voted,"54,710"
230,The Wall,-,-,413,5 people voted,"4,957"
231,"My Enemy, My Ally",Star Trek: Rihannsu,1,412,5 people voted,"1,857"
232,Local Custom,Liaden Universe,5,411,6 people voted,"2,318"
233,An Alien Light,-,-,408,6 people voted,314
234,Yesterday's Son,Star Trek: The Original Series #11; The Yesterday Saga,1,408,5 people voted,"2,320"
235,Magic Bites,Kate Daniels,1,407,5 people voted,"90,817"
236,Synners,-,-,406,5 people voted,"1,704"
237,Endgame,Sirantha Jax,6,406,5 people voted,"2,654"
238,Plan B,Liaden Universe,11,404,7 people voted,"2,210"
239,The Time Quartet Box Set,Time Quartet,1-4,402,5 people voted,"10,928"
240,The Graveyard Game,The Company,4,400,6 people voted,"1,652"
241,Aftermath,Sirantha Jax,5,400,5 people voted,"3,160"
242,Seeds,-,-,400,4 people voted,133
243,Dakiti,Ziva Payvan,1,398,4 people voted,154
244,Foreign Identity,-,-,396,4 people voted,98
245,Witch World,Witch World Series 1: Estcarp Cycle,1,396,6 people voted,"3,981"
246,Who Fears Death,Who Fears Death,1,396,5 people voted,"14,147"
247,The Unit,-,-,393,5 people voted,"7,271"
248,Miles in Love,Vorkosigan Omnibus,6,392,7 people voted,"3,351"
249,Kallocain,-,-,392,4 people voted,"4,618"
250,Blackout,All Clear,1,392,6 people voted,"19,348"
251,Root of the Spark,-,-,391,4 people voted,38
252,The Last Hour of Gann,-,-,389,4 people voted,"4,531"
253,Lagoon,-,-,388,4 people voted,"4,498"
254,Ishmael,Star Trek: The Original Series,23,385,5 people voted,"1,642"
255,Radiance,-,-,384,5 people voted,"3,496"
256,Too Like the Lightning,Terra Ignota,1,384,4 people voted,"6,871"
257,Catch the Lightning,Saga of the Skolian Empire,2,383,6 people voted,"1,393"
258,Scardown,Jenny Casey,2,378,5 people voted,911
259,The Many-Colored Land,Saga of the Pliocene Exile,1,376,5 people voted,"10,660"
260,The Starbirth Assignment: Transmutes,Starbirth,1 part 2,376,4 people voted,51
261,Winter,The Lunar Chronicles,4,374,4 people voted,"155,742"
262,Wolfwalker,Wolfwalker,1,373,4 people voted,892
263,Scout's Progress,Liaden Universe,6,369,5 people voted,"2,188"
264,A Tale for the Time Being,-,-,368,4 people voted,"72,939"
265,The Empress of Mars,-,-,366,5 people voted,966
266,The Far Side of Evil,-,-,363,4 people voted,480
267,Clay's Ark,Patternmaster,3,362,4 people voted,"5,040"
268,The True Game,Land of the True Game,1-3,357,5 people voted,"1,253"
269,The Merro Tree,-,-,357,5 people voted,383
270,A Fisherman of the Inland Sea,-,-,354,4 people voted,"1,945"
271,War for the Oaks,-,-,352,5 people voted,"9,318"
272,Alif the Unseen,-,-,350,4 people voted,"14,703"
273,Finders Keepers,-,-,349,5 people voted,"2,933"
274,The Price of the Stars,Mageworlds,1,348,5 people voted,"1,462"
275,Clean Sweep,Innkeeper Chronicles,1,346,4 people voted,"28,738"
276,Agent of Change,Liaden Universe,9,345,6 people voted,"3,595"
277,"Worlds of Exile and Illusion: Rocannon's World, Planet of Exile, City of Illusions",Hainish Cycle,1-3,344,4 people voted,"2,070"
278,Bone Dance,-,-,343,5 people voted,"1,535"
279,Heris Serrano,The Serrano Legacy,1-3,342,4 people voted,"2,873"
280,Crossed,Matched,2,341,4 people voted,"195,731"
281,Beloved,-,-,339,4 people voted,"279,756"
282,Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Divergent,1.5,338,4 people voted,"90,230"
283,Reached,Matched,3,337,4 people voted,"129,591"
284,The 100,The 100,1,337,4 people voted,"42,945"
285,Brain Plague,-,-,330,5 people voted,404
286,Lincoln's Dreams,-,-,330,4 people voted,"3,812"
287,The Madness Season,-,-,327,4 people voted,"2,581"
288,Cruiser Dreams,Kerrion Empire,2,326,4 people voted,119
289,The Wounded Sky,-,-,323,4 people voted,"1,694"
290,The Down Home Zombie Blues,-,-,322,5 people voted,"1,187"
291,City of Illusions,-,-,322,5 people voted,"4,758"
292,Binti,Binti,1,322,4 people voted,"32,485"
293,The Time Traders,Time Traders/ Ross Murdock,1,321,5 people voted,"4,141"
294,Ring of Swords,-,-,320,4 people voted,290
295,Solitaire,-,-,320,4 people voted,"1,114"
296,Two to Conquer,Darkover,7,320,5 people voted,"2,379"
297,Enclave,Razorland,1,318,4 people voted,"62,434"
298,Vast,The Nanotech Succession,3,318,4 people voted,404
299,Time for Yesterday,Star Trek: The Original Series ,39,316,4 people voted,"1,543"
300,The Bees,-,-,315,4 people voted,"27,655"
301,Uncharted Territory,-,-,310,5 people voted,"1,315"
302,"Women of Wonder, the Contemporary Years: Science Fiction by Women from the 1970s to the 1990s",-,-,306,4 people voted,159
303,Wave Without a Shore,-,-,304,4 people voted,562
304,Kiss of Midnight,Midnight Breed,1,302,4 people voted,"56,761"
305,Clutch,I Am Just Junco,1,300,3 people voted,890
306,The Prophecy of Arcadia,Arcadian Wars,1,300,3 people voted,144
307,The Founder's Curse,New Zigon ,1,300,3 people voted,18
308,The Time Tourists,-,-,300,3 people voted,13
309,Sleeping Together,Perfect Drug ,1,300,3 people voted,66
310,A World Divided,Darkover Omnibus,5,299,4 people voted,486
311,A Gift Upon the Shore,-,-,299,4 people voted,"1,247"
312,Fool's War,-,-,299,4 people voted,499
313,...And the Stars Will Sing,-,-,298,3 people voted,100
314,Bloodline,Forgotten Origins Trilogy ,1,298,3 people voted,340
315,Betrayer,Foreigner ,12,297,4 people voted,"1,718"
316,Fledge,I Am Just Junco,2,297,3 people voted,493
317,Heritage,Forgotten Origins Trilogy ,2,297,3 people voted,82
318,The Outskirter's Secret,The Steerswoman,2,296,5 people voted,"1,096"
319,"Forgotten Origins Trilogy - Box Set: Infected, Heritage, Descent",-,-,296,3 people voted,42
320,Nexus,Ziva Payvan,2,295,3 people voted,60
321,Flight,I Am Just Junco,3,294,3 people voted,399
322,Powers That Be,Petaybee,1,293,4 people voted,"5,781"
323,We Are All Completely Beside Ourselves,-,-,293,4 people voted,"91,613"
324,The Margarets,-,-,290,4 people voted,"1,533"
325,Clockwork Prince,The Infernal Devices,2,290,3 people voted,"395,120"
326,Nautilus,-,-,289,4 people voted,181
327,Six Wakes,-,-,289,3 people voted,"9,145"
328,Schism,"Saga of the Skolian Empire, #10; The Triad",1,287,4 people voted,691
329,The Selection,The Selection,1,286,3 people voted,"726,151"
330,The Sons of Heaven,The Company,8,284,4 people voted,"1,175"
331,The End of Mr. Y,-,-,284,4 people voted,"14,274"
332,"Bitch Planet, Vol. 1: Extraordinary Machine",-,-,282,3 people voted,"20,118"
333,The Golden Nineties,-,-,281,3 people voted,61
334,Dust,Jacob's Ladder,1,280,4 people voted,"1,870"
335,Chanur's Homecoming,Chanur ,4,280,5 people voted,"2,709"
336,Phantom,-,-,280,3 people voted,"10,836"
337,Among the Hidden,Shadow Children,1,279,4 people voted,"105,567"
338,The Outback Stars,The Outback Stars ,1,279,4 people voted,918
339,Carnival,-,-,278,4 people voted,784
340,Infomocracy,The Centenal Cycle,1,278,3 people voted,"3,882"
341,City of Sorcery,Darkover,14,276,4 people voted,"1,785"
342,Ascension,Tangled Axon,1,276,3 people voted,"1,247"
343,Genie-Alogy,-,-,276,3 people voted,53
344,Rider at the Gate,Finisterre ,1,275,4 people voted,957
345,Reckless Rescue,Barren Planet,1,275,3 people voted,718
346,Trouble and Her Friends,-,-,274,3 people voted,"1,206"
347,The Coldest Girl in Coldtown,-,-,274,3 people voted,"49,072"
348,The First Fifteen Lives of Harry August,-,-,273,3 people voted,"53,519"
349,The Vanishing Girl,The Vanishing Girl,1,270,3 people voted,"4,202"
350,The Fresco,-,-,269,3 people voted,"1,837"
351,Diving into the Wreck,Diving Universe,1,269,5 people voted,"1,400"
352,"Women of Wonder, the Classic Years: Science Fiction by Women from the 1940s to the 1970s",-,-,267,4 people voted,193
353,Inside Out,Insider,1,267,3 people voted,"23,227"
354,The Best of All Possible Worlds,-,-,266,3 people voted,"3,871"
355,Time of the Twins,Dragonlance: Legends,1,265,3 people voted,"30,464"
356,Sarah Canary,-,-,264,3 people voted,"1,320"
357,The Children of the Company,The Company,6,262,4 people voted,"1,274"
358,Children of Scarabaeus,Scarabaeus,2,262,3 people voted,"1,136"
359,Perdition,Dred Chronicles,1,259,4 people voted,"3,613"
360,Turnabout,-,-,257,3 people voted,"6,547"
361,Queen City Jazz,Nanotech,1,257,3 people voted,668
362,Partners In Necessity,Liaden Universe,8-10,256,4 people voted,"1,009"
363,Extremes,Retrieval Artist,2,256,4 people voted,949
364,"Sabella, or, The Bloodstone",-,-,255,3 people voted,496
365,Redemption in Indigo,-,-,255,3 people voted,"1,976"
366,The Collected Short Fiction of C.J. Cherryh,-,-,253,4 people voted,326
367,The Bohr Maker,The Nanotech Succession,1,253,3 people voted,882
368,Gabriel's Ghost,Dock Five Universe,1,251,5 people voted,"3,502"
369,The Silver Ship and the Sea,The Silver Ship,1,250,3 people voted,330
370,The Declaration,The Declaration,1,250,3 people voted,"20,418"
371,Contact,-,-,248,4 people voted,"1,046"
372,Halfway Human,-,-,247,3 people voted,570
373,Life,-,-,247,3 people voted,172
374,Shades of Dark,Dock Five Universe,2,247,4 people voted,"1,288"
375,New Amsterdam,New Amsterdam,1,247,4 people voted,"1,648"
376,The Life of the World to Come,The Company,5,246,4 people voted,"1,484"
377,A Woman of the Iron People,-,-,246,4 people voted,448
378,Dark Orbit,-,-,243,3 people voted,"1,877"
379,La Métamorphose,-,-,242,3 people voted,"525,803"
380,My Real Children,-,-,241,3 people voted,"5,186"
381,White Queen,White Queen,1,240,3 people voted,193
382,The Romulan Way,Star Trek: Rihannsu,2,240,3 people voted,"1,347"
383,Sporting Chance,The Serrano Legacy,2,240,4 people voted,"3,777"
384,Demons,-,-,239,3 people voted,981
385,Day 21,The 100,2,238,3 people voted,"20,322"
386,Double Identity,-,-,237,3 people voted,"14,724"
387,Once a Hero,The Serrano Legacy,4,236,4 people voted,"4,829"
388,The Forbidden Circle,Darkover Omnibus,4,234,3 people voted,"1,131"
389,The Legend of Banzai Maguire,2176 Series,1,234,4 people voted,628
390,Change of Command,The Serrano Legacy,6,228,3 people voted,"3,137"
391,Heritage and Exile,Darkover Omnibus,1,227,3 people voted,839
392,Alternate Realities,-,-,227,3 people voted,283
393,The Mount,-,-,225,3 people voted,"1,316"
394,Magic Breaks,Kate Daniels,7,225,3 people voted,"35,132"
395,The Dragon Variation,Liaden Universe,"5-6,8",225,3 people voted,623
396,Mindshadow,Star Trek: The Original Series ,27,222,3 people voted,748
397,Sultana's Dream: And Selections from The Secluded Ones,-,-,222,3 people voted,203
398,The Adoration of Jenna Fox,Jenna Fox Chronicles,1,221,3 people voted,"44,520"
399,The Best of Leigh Brackett,-,-,220,4 people voted,191
400,The Heat Death of the Universe and Other Stories,-,-,219,3 people voted,107
401,Memory of Water,-,-,217,3 people voted,"4,682"
402,Tripoint,The Company Wars,6,215,4 people voted,"1,149"
403,Bloodthirst,-,-,215,3 people voted,654
404,The Shadow Speaker,-,-,215,3 people voted,"1,034"
405,Magic Strikes,Kate Daniels,3,215,3 people voted,"65,278"
406,The Alton Gift,Darkover,27,214,3 people voted,"1,456"
407,Brown Girl in the Ring,-,-,213,3 people voted,"3,901"
408,A Confederation of Valor,Confederation,1-2,212,5 people voted,"1,430"
409,Salvation City,-,-,212,3 people voted,671
410,Finity's End,The Company Wars,7,211,4 people voted,"1,232"
411,The Final Key,"Saga of the Skolian Empire, #11; The Triad",2,211,3 people voted,621
412,Not Less Than Gods,-,-,210,3 people voted,465
413,Changing Planes,-,-,210,3 people voted,"3,931"
414,The Heritage of Hastur,Darkover,18,210,3 people voted,"3,012"
415,Pure,Pure,1,208,3 people voted,"22,619"
416,Born of the Night,The League,1,206,3 people voted,"24,017"
417,The Guild of Xenolinguists,-,-,201,3 people voted,83
418,Moonstruck,Borderlands,1,201,4 people voted,"1,213"
419,Broken,Extrahumans,1,200,2 people voted,404
420,Freewill,Freewill,1,200,2 people voted,48
421,Reboot,-,-,200,2 people voted,15
422,Cavalcade,-,-,200,2 people voted,59
423,Stronger,-,-,200,2 people voted,29
424,An Airship Named Desire,Take to the Skies,1,200,2 people voted,86
425,Frontier Resistance,-,-,200,2 people voted,124
426,Ultraxenopia,Project W.A.R. ,1,200,2 people voted,285
