,tag,title,summary,rating,make_again,link
10,recipe,Thai-Style Squid and Cucumber Salad,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.",2.5,50%,https://www.epicurious.com//recipes/food/views/thai-style-squid-and-cucumber-salad
11,recipe,Spicy Grilled Chicken with Crunchy Fennel Salad,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",4,100%,https://www.epicurious.com//recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad
12,recipe,Lemon Salmon with Creamy Cucumber Salad,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",2.5,60%,https://www.epicurious.com//recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad
13,recipe,Smashed Cucumber Salad with Hot Vinegar,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",0,0%,https://www.epicurious.com//recipes/food/views/smashed-cucumber-salad-with-hot-vinegar
14,recipe,Sam's Spring Fattoush Salad,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,4,100%,https://www.epicurious.com//recipes/food/views/sams-spring-cucumber-radish-fattoush-salad
15,article,Everything You Don't Know About Electric Knives,The history isn't pretty.,,,https://www.epicurious.com//expert-advice/how-to-handle-electric-knife-article
16,recipe,Skirt Steak with Spicy Coconut Dressing,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,4,100%,https://www.epicurious.com//recipes/food/views/skirt-steak-with-spicy-coconut-dressing
17,article,Weekly Meal Plan: March 11–15,"A Sunday frittata, impromptu Pu Pu, and a super-easy steak night.",,,https://www.epicurious.com//expert-advice/weekly-meal-plan-sunday-frittata-impromptu-pu-pu-and-a-super-easy-steak-night-article
19,recipe,Mango Toast with Hazelnut-Pepita Butter,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears.",0,0%,https://www.epicurious.com//recipes/food/views/mango-toast-with-hazelnut-pepita-butter
20,article,Weekly Meal Plan: April 8–12,"Zingy pineapple shrimp, sheet-pan tandoori chicken, and the world’s easiest enchiladas.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-zingy-pineapple-shrimp-sheet-pan-tandoori-chicken-and-the-worlds-easiest-enchiladas-article
21,article,"Turn Veggies into Dinner with One of These ""Sauces"" ",They're the secret to our food editor's favorite quick and easy weeknight dinners.,,,https://www.epicurious.com//expert-advice/high-protein-sauces-for-vegetables-article
22,article,Weekly Meal Plan: September 3–7,Featuring sheet-pan chicken and so. many. cherry tomatoes.,,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-sept-3-7-2018-article
23,article,This Chilled Cucumber-Avocado Soup Is the Easiest Summer Dinner I Know,It's cool yet spicy. Elegant yet easy. And perfect for warm-weather get-togethers.,,,https://www.epicurious.com//recipes-menus/this-chilled-cucumber-avocado-soup-is-the-easiest-summer-meal-i-know-article
24,article,"The Fastest Way to ""Hard-Boil"" a Huge Batch of Eggs Is to Steam Them",Stick with me here.,,,https://www.epicurious.com//expert-advice/the-fastest-way-to-hard-boil-a-huge-batch-of-eggs-article
25,recipe,Quick-Pickled Charred Vegetables,This technique is nothing short of amazing—even if you're finicky about your pickles.,4,100%,https://www.epicurious.com//recipes/food/views/quick-pickled-charred-grilled-vegetables
26,recipe,Green Beans and Cucumbers with Miso Dressing,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of.",3.5,88%,https://www.epicurious.com//recipes/food/views/green-beans-and-cucumbers-with-miso-dressing
27,article,Weekly Meal Plan: January 28–February 1,"Savory beef-cheddar pies, mustard chicken, and a baked potato bar.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-savory-beef-cheddar-pies-mustard-chicken-and-a-baked-potato-bar-article
28,article,"Watch Out Zester, We're Reaching for a New Microplane Tool ",Meet the ginger grater.,,,https://www.epicurious.com//expert-advice/microplane-ginger-grater-article
29,article,Weekly Meal Plan: August 27–31,"Grill-ahead dinners, hummus bowls, and an old-fashioned Tex-Mex taco night.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-grill-ahead-dinners-and-easy-hummus-bowls-article
30,article,Weekly Meal Plan: April 15–19,It's so good you'll forget it's Tax Week.,,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-lamb-meatballs-sheet-pan-salmon-and-mind-blowing-tofu-article
31,article,Weekly Meal Plan: May 13–17,"Herby shrimp, gingery chicken soup, and cheesesteak calzones.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-herby-shrimp-gingery-chicken-soup-and-cheesesteak-calzones-article
32,article,Store Cucumbers Like a Pro,Soggy spoiled cucumbers are sad: avoid them forever by learning how to store cucumbers the right way.,,,https://www.epicurious.com//ingredients/how-to-store-cucumbers-article
33,article,Weekly Meal Plan: March 25–29,"Big-batch spiced pork, crunchy chicken, and four-ingredient chickpea flatbreads.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-big-batch-spiced-pork-crunchy-chicken-and-burst-tomato-sauce-article
34,article,Oven-Roasted Tofu Is the Vegetarian Main We've Been Waiting For,"Instead of sautéeing neat squares of tofu, try tearing it into rough, craggy pieces and roasting until browned and crispy.",,,https://www.epicurious.com//ingredients/oven-roasted-tofu-is-the-vegetarian-main-we-need-article
35,article,This Soy Sauce is Better Than Anything You've Had from the Grocery Store,It's imported from Japan—and available on Amazon.,,,https://www.epicurious.com//expert-advice/this-is-the-best-soy-sauce-article
36,article,Weekly Meal Plan: January 14–18,"Citrus shrimp, slow-cooker pork shoulder, and breakfast for dinner.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-citrus-shrimp-slow-cooker-pork-shoulder-and-breakfast-for-dinner-article
38,article,Our 7 Favorite Ways to Cook Green Beans,"With these methods for roasting, blanching, grilling, and more, you'll never have to eat bland, overcooked green beans again.",,,https://www.epicurious.com//ingredients/how-to-prepare-and-cook-green-beans-article
39,article,The Case for the Cumin Seed,"The versatility of the cumin is practically unmatched in the spice world. But if you're buying the pre-ground stuff, you're only getting half the story.",,,https://www.epicurious.com//ingredients/the-case-for-the-cumin-seed-article
40,article,Weekly Meal Plan: January 7–12,You’ll have time to put up your feet every night this week.,,,https://www.epicurious.com//expert-advice/weekly-meal-plan-simply-roasted-salmon-sheet-pan-sausage-and-life-changing-polenta-article
41,article,7 Last-Minute Gifts for Food Lovers,"Dearest procrastinators, we've got your back!",,,https://www.epicurious.com//holidays-events/last-minute-food-gifts-article
42,article,The Slice-and-Spice Pork Tenderloin You Freeze Before You Prep,"For this month's Sunday Stash, we're putting together several meals worth of sliced-and-spiced pork that's ready to be turned into dinner at a moment's notice.",,,https://www.epicurious.com//expert-advice/big-patch-sliced-pork-tenderloin-freeze-before-prep-article
43,article,9 Japanese Cookware Gifts That Are All About Form and Function,"Beautiful cast-iron pans, earthenware pots, and more gifts for classy cooks.",,,https://www.epicurious.com//expert-advice/japanese-cookware-gifts-article
44,article,Tested and Approved: The Best Juicers,We scrubbed the pulp from seven different juicers to find the best one.,,,https://www.epicurious.com//expert-advice/best-juicers-breville-kuvings-article
45,article,Breakfast Snack Trays Are Your New Brunch Staple,It's the quickest way to feed all those hungry relatives staying at your house.,,,https://www.epicurious.com//expert-advice/breakfast-snack-trays-are-your-new-brunch-staple-article
46,article,Weekly Meal Plan: June 18–22,"Roast chicken with white beans, swordfish steaks, avocado soba noodles.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-roast-chicken-with-white-beans-swordfish-steaks-avocado-soba-noodles-article
47,article,Weekly Meal Plan: July 16–20,A week of paleo-friendly dinners.,,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-for-july-16-20-a-week-of-paleo-friendly-dinners-article
48,article,Weekly Meal Plan: October 29–November 2,We’ve got plenty of tricks—and treats—in store for you.,,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-a-super-easy-week-with-pork-chops-noodles-and-pizza-article
49,recipe,Crispy Fish Fillets with Cucumber Ceviche,"Serve panko-crusted white fish with a piquant relish of cucumbers, fennel, and chiles, kissed with both lime and cilantro.",4,100%,https://www.epicurious.com//recipes/food/views/fish-milanese-with-cucumber-ceviche
50,article,Teach Your Kids to Make Their Own Lunch: Part Two,"From grocery shopping to prep work, here's how you and your kids can nail the details.",,,https://www.epicurious.com//expert-advice/teach-your-kids-to-make-their-own-lunch-part-two-article
51,article,Weekly Meal Plan: July 9–13,Make-ahead meals (and a taco night!) for summer.,,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-make-ahead-meals-taco-night-for-summer-article
52,article,The Best Way to Clear Out All Those Lingering Condiments in Your Fridge,Stop hanging on to that last spoonful of hot chili jam from three years ago—it's time for it to go.,,,https://www.epicurious.com//ingredients/the-best-way-to-use-up-all-those-lingering-condiments-in-your-fridge-article
53,article,Why You Should Grill Your Vegetables Before Pickling Them,You've had pickles with barbecue. But what about a barbecued pickle?,,,https://www.epicurious.com//expert-advice/why-grill-your-vegetables-before-pickling-them-article
54,article,5 Ways to Make Melon Savory,"Watermelons, cantaloupes, and honeydews lean sweet—and that's why they play so well with salt, vinegar, and cheese.",,,https://www.epicurious.com//ingredients/how-to-cook-melon-savory-article
55,article,The Best Mayonnaise Money Can Buy,The best mayo is just one swipe away.,,,https://www.epicurious.com//ingredients/best-mayonnaise-grocery-store-article
57,recipe,Thai-Style Pineapple-Coconut Rice,"Keep the accompaniments simple by serving with a platter of sliced baked tofu, cucumbers, tomatoes, and baby carrots.",3,100%,https://www.epicurious.com//recipes/food/views/thai-style-pineapple-coconut-rice
58,article,How to Snack on Thanksgiving So You Don't Get Hangry,We're here to save you with a snacking strategy.,,,https://www.epicurious.com//holidays-events/this-is-your-official-thanksgiving-snacking-strategy-article
59,article,Weekly Meal Plan: September 17–21,A week of easy meals that take you from summer into fall.,,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-corn-tomatoes-and-lots-of-butternut-squash-article
60,article,How to Eat Radishes: 10 Radish Recipes to Try Tonight,"Crunchy, spicy, and not too shabby to look at, radishes are great on their own. But these 10 recipes help you put the radishes to work in salads, tacos, and more.",,,https://www.epicurious.com//expert-advice/how-to-eat-radishes-article
61,article,"Family Dinner Wins: 5 Easy, Back-Pocket Meals That Save Us From Takeout","The last-minute recipes born of necessity—and, occasionally, desperation—that end up becoming family favorites.",,,https://www.epicurious.com//expert-advice/family-dinner-wins-easy-back-pocket-meals-article
62,article,The Adult Lunch Boxes That Will Finally Motivate You to Pack a Lunch,And stop spending 20 bucks a day on a mediocre salad.,,,https://www.epicurious.com//expert-advice/the-best-adult-lunch-boxes-bowls-and-bento-sets-article
63,article,"The Best Mixing Bowls for Giant Salads, Movie Night Popcorn, and Cookie Dough","We tested top-rated sets of mixing bowls—including glass, stainless steel, and plastic varieties—to find the best one for everyday kitchen tasks.",,,https://www.epicurious.com//expert-advice/the-best-mixing-bowls-product-review-article
64,article,The Easiest Way to Make Lunch at Your Desk,Don't have time to meal prep? You can make a salad right at your desk with these handy tricks.,,,https://www.epicurious.com//expert-advice/how-to-assemble-a-desk-side-salad-article
65,article,Weekly Meal Plan: June 4–8,"Chicken shawarma, herby tuna pasta, and mapo tofu.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-shawarma-chicken-herby-tuna-pasta-and-mapo-tofu-article
66,article,30 Best Burger Recipes (and Tips on How to Cook Them to Perfection),"Secrets from grilling experts on how to make the best burger, ever.",,,https://www.epicurious.com//recipes-menus/best-burger-recipes-article
67,article,The Best Subscription Boxes That Make Great Food Gifts,"It doesn't get much better than monthly deliveries of cheese, coffee, and pasta.",,,https://www.epicurious.com//expert-advice/food-subscription-box-gift-ideas-article
68,article,"Nachos Are a Magical, Kid-Friendly Way to Repurpose Leftovers","Last night's dinner is tonight's topping for crispy, cheesy nachos.",,,https://www.epicurious.com//expert-advice/nachos-are-a-magical-kid-friendly-way-to-repurpose-leftovers-article
69,article,The Best Pickles Are Homemade Pickles,Gather your Kirby cukes and get started.,,,https://www.epicurious.com//expert-advice/how-to-can-pickles-weekend-warrior-article
70,article,Weekly Meal Plan: March 19–23,"Lemony soup, fast tacos, and a salad that's secretly a pizza.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-starring-lemony-soup-fast-tacos-and-a-salad-thats-secretly-a-pizza-article
71,article,6 Ways to Use the Dull Side of Your Chef's Knife,The dull side of the knife is actually pretty interesting.,,,https://www.epicurious.com//expert-advice/how-to-use-back-of-chefs-knife-article
72,article,Weekly Meal Plan: June 11–15,"Chipotle-lime steak, salmon burgers, and peanutty rice noodles.",,,https://www.epicurious.com//expert-advice/weekly-meal-plan-chipotle-lime-steak-salmon-burgers-and-peanut-rice-noodles-article
73,article,The Bowl That Makes Every Salad Better,Toss your salad like a pro.,,,https://www.epicurious.com//expert-advice/youre-gonna-need-a-bigger-bowl-salad-article
74,article,Big-Batch Roasted Kale Is a Dinnertime Savior,Even though my kids won't eat it.,,,https://www.epicurious.com//recipes-menus/big-batch-roasted-kale-is-a-dinnertime-savior-sunday-stash-article
76,article,Everything You Need for At-Home Canning,We talked to an expert so you can be someone who cans at home.,,,https://www.epicurious.com//expert-advice/everything-you-need-for-canning-at-home-article
77,recipe,Peanut Noodles with Chicken and Snap Peas,"Featuring an easy make-ahead peanut sauce, these chicken noodle bowls come together in no time at all.",3.5,100%,https://www.epicurious.com//recipes/food/views/rice-noodles-with-peanut-sauce-chicken-and-snap-peas
78,article,Weekly Meal Plan: May 28–June 1,"Barbecue pork, hot-honey chicken, and a chef's salad upgrade.",,,https://www.epicurious.com//holidays-events/weekly-meal-plan-bbq-pork-hot-honey-chicken-and-a-chefs-salad-upgrade-article
79,recipe,Thai Beef Salad,"We eat this salad—which is a great way to stretch a piece of beef—all year long for lunch and dinner, but it's particularly good during the warmer months. The thinly sliced meat, the crunch of the cucumbers and red onions, and the heady aroma of mint and cilantro tossed with the chile-spiked salty-sweet dressing seem made for hot days and nights.",4,100%,https://www.epicurious.com//recipes/food/views/thai-beef-salad
80,recipe,Smashed Cucumbers and Radishes in Yogurt Sauce,"Wheels of cucumbers and radishes are nice and all, but smashing them into ragged pieces is way more fun.",0,0%,https://www.epicurious.com//recipes/food/views/smashed-cucumbers-and-radishes-in-yogurt-sauce
81,article,Weekly Meal Plan: March 5–9,"Filipino pork, crispy fish, and a ton of easy-does-it tips.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-filipino-pork-and-a-ton-of-easy-does-it-tips-article
82,article,How to Make a Cheese Plate for Yourself—and Why That's a Powerful Idea,"It's the easiest, most elegant solo dinner there is.",,,https://www.epicurious.com//expert-advice/how-to-make-a-cheese-plate-for-one-article
83,video,Green Chicken Meatballs,"This big batch of meatballs is inspired by kofta, the flavor-packed ground meat patties popular throughout the Middle East and North Africa. Stash them in your freezer so you always have the building blocks of a great meal. Try them simmered in tomato sauce, served over grains or greens, or packed into pita sandwiches with cucumbers, red onion, mint, and a tangy yogurt sauce. Get the recipe: http://www.epicurious.com/recipes/food/views/herby-chicken-kofta-meatballs",,,https://www.epicurious.com/http://video.epicurious.com/watch/green-chicken-meatballs
84,article,"The Best Vegetarian Cookbooks, According to the Epicurious Staff","Recipe collections that'll get you excited about vegetables, from seed to stem.",,,https://www.epicurious.com//expert-advice/best-vegetarian-cookbooks-article
85,article,What to Pack for Lunch When Your Kid Won't Eat Sandwiches,A nutritionist tells us what she puts in her kids' lunchboxes.,,,https://www.epicurious.com//expert-advice/what-to-pack-for-lunch-when-your-kid-wont-eat-sandwiches-article
86,article,A Breastfeeding Mama’s Snacking Survival Guide,"At home or on the road, a smartly stocked grab bag can make all the difference.",,,https://www.epicurious.com//expert-advice/a-breastfeeding-mamas-snacking-survival-guide-article
87,article,My Kid Is a Vegetarian—Now What?,Compromising at the dinner table might not be as difficult as you think.,,,https://www.epicurious.com//expert-advice/my-kid-is-a-vegetarian-article
88,article,Weekly Meal Plan: Easy Post-Thanksgiving Family Dinners ,"Last week was full of cooking—this week, slow it down with some easy favorites.",,,https://www.epicurious.com//expert-advice/weekly-meal-plan-easy-post-thanksgiving-family-dinners-article
89,gallery,"41 Crisp, Crunchy, and Cooling Cucumber Recipes",Nothing's cooler than a cucumber.,,,https://www.epicurious.com//recipes-menus/12-refreshing-ways-to-eat-cucumbers-gallery
90,article,"Weekly Meal Plan: 5 Fast, Family-Friendly Dinners","From a veggie-packed noodle bowl to grilled cheese tacos, these kid-approved recipes can be made in 30 minutes or less.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-family-friendly-kids-dinners-article
91,recipe,Chicken Kofta Meatballs,Make a big batch of these spicy herbed meatballs and stash them in your freezer and you’ll always have the building blocks for an easy weeknight dinner on hand.,3.5,88%,https://www.epicurious.com//recipes/food/views/herby-chicken-kofta-meatballs
92,recipe,Teriyaki Steak Skewers with Asian-Style Greens,"These steak kebabs are marinated in soy-ginger sauce, and served over a salad of bok choy, kale, and cucumbers.",1,0%,https://www.epicurious.com//recipes/food/views/teriyaki-steak-skewers-with-asian-style-greens
93,article,How to Throw a Dinner Party Without Actually Cooking Anything,"For a quick, easy, and casual after-work dinner party, assemble ingredients from the grocery store into an elegant meal.",,,https://www.epicurious.com//expert-advice/no-cook-30-minute-dinner-party-menu-article
95,article,The Best Gifts for Your Adult Siblings,Because sibling rivalry should be all about who scored the better present.,,,https://www.epicurious.com//holidays-events/gift-guide-adult-siblings-article
96,recipe,"Yogurt with Raisins, Cucumber, and Walnuts","Mast, which translates to yogurt in Farsi, is a staple side dish on most Persian tables. The yogurt can be mixed with shallots, grated cooked beets, cooked spinach, or, most commonly, with Persian cucumbers, mint, and dried rose.",0,0%,https://www.epicurious.com//recipes/food/views/yogurt-with-raisins-cucumber-and-walnuts
97,article,This Week's Meal Plan: 5 Days of Easy Grill-Friendly Dinners,"Spend some quality time with your grill this week making simple summer meals like grilled sausage with greens and lemon, Thai tofu and green bean salad, and grilled flatbread with smoked trout.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-5-days-of-easy-grill-friendly-dinners-article
98,article,How Having a Child With Food Allergies Changed the Way I Cook Dinner,"After her son was diagnosed with food allergies, this food-loving parent had to learn how to bring the world to him, one meal at a time.",,,https://www.epicurious.com//expert-advice/how-having-a-child-with-food-allergies-changed-the-way-i-cook-dinner-article
99,article,Here's Why My Kids Eat Indian Food Almost Every Night,Chicago-based cookbook author Anupy Singla changed careers in order to change her family's eating habits. It worked.,,,https://www.epicurious.com//expert-advice/why-my-kids-eat-indian-food-almost-every-night-article
100,article,This Week's Meal Plan: Cool Dinners for Hot Nights,"Too hot outside to eat anything warm? Make chilled corn soup, a summery salmon salad, and cool, spicy noodles instead.",,,https://www.epicurious.com//recipes-menus/this-weeks-meal-plan-cool-dinners-for-hot-nights-article
101,article,5 Easy Weeknight Recipes to Get You Through the First Week of School,Put down that take-out menu. Sail through the school week with these family-friendly recipes that are just as fast and much more delicious.,,,https://www.epicurious.com//recipes-menus/your-seriously-easy-back-to-school-dinner-plan-article
102,article,The Number One Reason You Don't Feel Like Cooking,"No, it's not because you're lazy.",,,https://www.epicurious.com//expert-advice/reason-you-dont-feel-like-cooking-how-to-cook-more-often-article
103,article,The Central-Asian Herb Combo I Can't Get Enough Of,"It's unexpected, it's assertive, and it's remarkably delicious.",,,https://www.epicurious.com//ingredients/uzbek-cuisine-herb-combo-dill-and-cilantro-article
104,article,"Step Aside, Avo Toast: Avocado Pickles Are a Thing",And they're super easy to make.,,,https://www.epicurious.com//expert-advice/avocado-pickles-are-the-newest-avo-trend-article
105,article,The Secret Peanut Sauce of a Seven-Year-Old Chef,It's time to share the magic with your kids.,,,https://www.epicurious.com//recipes-menus/kid-friendly-peanut-sauce-essay-recipe-article
106,recipe,Favorite Dill Pickles,"Often called kosher-style dill pickles, these are quick to make. Use either small whole cucumbers or cut larger ones into quarters. For an additional interesting flavor, tuck a small dried hot red pepper into each jar.",3.5,71%,https://www.epicurious.com//recipes/food/views/fast-favorite-garlic-dill-pickles-230707
107,article,This is What Happens When Kids Choose the Meal Plan for the Week,"No, you won't be stuck eating chicken fingers and hot dogs all week. But you will probably eat a lot of noodles.",,,https://www.epicurious.com//expert-advice/kids-plan-our-meals-for-a-week-article
108,article,A Weekly Meal Plan That's All About Sandwiches,"Piling ingredients onto bread is the quickest, most satisfying way to achieve a full week of dinners.",,,https://www.epicurious.com//recipes-menus/a-weekly-meal-plan-thats-all-about-sandwiches-article
109,article,"This Week's Meal Plan: Salmon Salad Niçoise, Grilled Corn Quesadillas, and Hoisin-Glazed Pork Chops",A week's worth of easy summer dinners.,,,https://www.epicurious.com//recipes-menus/this-weeks-meal-plan-salmon-salad-steak-and-a-time-saving-strategy-article
110,article,5 Store-Bought Salad Dressings That Are Actually Worth Eating,There's no shame in a premade dressing when you're in a pinch. Just make sure you pick the right one.,,,https://www.epicurious.com//expert-advice/best-store-bought-salad-dressing-article
111,article,This French Summer Dinner Party Involves a Lot of Mayonnaise,"Make le grand aioli (aka aioli served with lots of things to dip in it) your new favorite easy, festive, tres chic way to entertain this summer.",,,https://www.epicurious.com//expert-advice/how-to-make-a-french-grand-aioli-for-summer-article
112,article,This Week's Meal Plan: 5 Springy Vegetarian Dinners,"Embrace the greens of spring with a week's worth of green beans, asparagus, broccoli, English peas, and spring greens.",,,https://www.epicurious.com//recipes-menus/weekly-meal-plan-vegetarian-spring-dinners-article
114,article,Make a Savory Pancake Dinner Any Kid Will Eat,A whole new take on pancakes for dinner.,,,https://www.epicurious.com//expert-advice/how-to-make-savory-pancakes-any-kid-will-eat-article
115,recipe,Kale and Cucumber Salad with Ginger Dressing,"A Vietnamese-inspired ginger dressing and plenty of cooling, crunchy cucumbers takes kale salad from ""not now"" to ""hey, wow!""",3,73%,https://www.epicurious.com//recipes/food/views/kale-and-cucumber-salad-with-roasted-ginger-dressing
116,article,29 Recipes We Want to Cook in July,"Corn, watermelon, and tomatoes—oh my.",,,https://www.epicurious.com//expert-advice/29-recipes-we-want-to-cook-in-july-article
117,article,18 High-Protein Nut-Free Snacks for Kids,"Skippy's not an option? Here are some of our favorite easy, protein-packed snacks made without peanuts or tree nuts.",,,https://www.epicurious.com//recipes-menus/high-protein-nut-free-snacks-for-kids-article
118,article,9 Groceries to Buy Every Week if You Have Kids,"Besides that lifetime supply of instant mac and cheese, of course.",,,https://www.epicurious.com//expert-advice/groceries-to-buy-for-kids-every-week-if-youre-a-parent-article
119,article,How to Turn Slow Cooker Chicken Into 12 Easy Dinners,"With this dish in your freezer, tacos, grain bowls, pasta bakes, and more are all less than 10 minutes away.",,,https://www.epicurious.com//expert-advice/how-to-make-slow-cooker-shredded-chicken-into-12-easy-dinners-article
120,article,This Pork Tenderloin Dinner Is 99% Guaranteed to Make Everyone in the Family Happy,It can go from simple to spicy in a matter of minutes.,,,https://www.epicurious.com//recipes-menus/kid-friendly-easy-pork-tenderloin-recipe-for-the-whole-family-article
121,article,5 Genius Ways to Upgrade Your Favorite Foods,Unexpected updates will make you love these tried-and-true food pairings even more,,,https://www.epicurious.com//sponsored/5-genius-ways-to-upgrade-your-favorite-foods-article
122,recipe,"Chilled Beet Soup with Buttermilk, Cucumbers, and Dill (Chlodnik)",This classic Polish soup is the ultimate in summer refreshment.,3.5,87%,https://www.epicurious.com//recipes/food/views/chilled-beet-soup-with-buttermilk-cucumbers-and-dill-chlodnik
123,article,3 Winter Panzanella Recipes,Turns out bread salads are delicious all year 'round.,,,https://www.epicurious.com//recipes-menus/winter-panzanella-bread-salad-recipes-article
124,article,10 Real-Life Commandments for Cooking for Kids,"It's hard to put a healthy, delicious meal that everybody likes on the table. How do we do it? By always, always (uh, sometimes) following these guiding principles.",,,https://www.epicurious.com//expert-advice/cooking-for-kids-rules-for-parents-article
125,article,The Two-Second Trick for Avoiding Bitter Cucumbers,This will change your salads forever.,,,https://www.epicurious.com//expert-advice/trick-for-avoiding-bitter-cucumbers-article
126,article,The Kid-Friendly Recipe That Makes Weekday Meals a Breeze,Freeze a batch of these meaty little patties over the weekend and the whole family can eat them for lunches and dinners all week long.,,,https://www.epicurious.com//expert-advice/sunday-stash-easy-make-ahead-beef-and-mushroom-patties-freezer-meals-cooking-for-kids-article
127,article,This Polish Take on Pizza Is Everything,"Zapiekanka is unlike any pizza in America—or Italy, for that matter. It's also irresistible.",,,https://www.epicurious.com//expert-advice/how-to-make-zapiekanka-polish-french-bread-pizza-article
128,article,The Art of Making Delicious Salsa,Recipes and tips from the authors of Mexican Food Made Easy,,,https://www.epicurious.com//holidays-events/the-art-of-making-delicious-salsa-article
